"182","Mirzapur",,"5442","25.1336987","82.5644344","86.60173035","245817","Mirzapur","UP"
"183","Sikar",,"1572","27.6094","75.139911","434.676239","244497","Sikar","RJ"
"184","Katihar",,"6452","25.542424","87.567953","33.50004196","240565","Katihar","BR"
"185","Dhulian",,"3485","24.6706654","87.9481846","27","239022","Murshidabad","WB"
"186","Ranaghat",,"3473","23.17405","88.5639352","16.67418861","235583","Nadia","WB"
"187","Rewa",,"7662","24.5372927","81.30418","306.771698","235422","Rewa","MP"
"188","Bulandshahr",,"5732","28.406963","77.8498292","203.5984802","235310","Bulandshahr","UP"
"189","Kannur","Cannanore","497","11.8744775","75.3703662","19.63994408","232634","Kannur","KL"
"190","Raichur",,"8532","16.2120031","77.3439283","392.6736755","232456","Raichur","KA"
"191","Pali",,"2932","25.7710893","73.3234478","217.9894409","230075","Pali","RJ"
"192","Ramagundam",,"8728","18.762412","79.473362","149.149292","229644","Karimnagar","TG"
"193","Silchar",,"3842","24.8332708","92.7789054","24","228985","Cachar","AS"
"194","Vizianagaram",,"8922","18.1066576","83.3955506","66.53398132","228025","Vizianagaram","AP"
"195","Nagercoil","Nagerkovil","4652","8.1832857","77.4118996","62.27349472","224849","Kanyakumari","TN"
"196","Thanjavur","Tanjore","4362","10.7869994","79.1378274","58","222943","Thanjavur","TN"
"197","Katni","Murwara; Mudwara","7622","23.8308453","80.4072255","378.8739319","221875","Katni","MP"
"198","Sambhal",,"5923","28.5903614","78.5717631","202.9590454","221334","Sambhal","UP"
"199","Singrauli",,"7805","24.200261","82.663989","392.9456177","220295","Singrauli","MP"
"200","Nadiad",,"268","22.6915853","72.8633635","36.0011673","218095","Kheda","GJ"
"201","Eluru",,"8812","16.7106604","81.0952431","21.15529251","217876","West","AP"
"202","Bidar",,"8482","17.9148799","77.5046101","672.1433105","216020","Bidar","KA"
"203","Munger",,"6344","25.376505","86.476588","49.78596115","213101","Munger","BR"
"204","Chhapra","Chapra","6152","25.7795649","84.7498886","60.20641708","212955","Saran","BR"
"205","Burhanpur",,"7325","21.3193875","76.2224273","249","210891","Burhanpur","MP"
"206","Panchkula",,"172","30.6942091","76.860565","340.098877","210175","Panchkula","HR"
"207","Dindigul",,"451","10.3673123","77.9802906","286.0294495","207327","Dindigul","TN"
"208","Gandhinagar",,"2712","23.2156354","72.6369415","78.92721558","206167","Gandhinagar","GJ"
